num_resellers,num_workers,arrival_rate,success_rate,throughput_rps,eff_latency_p95,latency_p95,dropped_timeout
15,5,150.0,0.18605372476061188,27.869999999999997,10.0,9.997176604127958,71650.5
15,10,150.0,0.999655228012769,149.78750000000002,0.5197633349323212,0.5197633349323212,0.0
15,20,150.0,0.9996934312492316,149.46333333333334,0.5109646468749887,0.5109646468749887,0.0
15,30,150.0,0.9997047266268992,149.51666666666665,0.5118120375606452,0.5118120375606452,0.0
15,40,150.0,0.9997047266268992,149.51666666666665,0.5118120375606452,0.5118120375606452,0.0
15,60,150.0,0.9997047266268992,149.51666666666665,0.5118120375606452,0.5118120375606452,0.0
15,80,150.0,0.9997047266268992,149.51666666666665,0.5118120375606452,0.5118120375606452,0.0
30,5,300.0,0.035114723054327855,10.5225,10.0,9.999143211019629,170529.5
30,10,300.0,0.16678343359262737,50.01916666666666,10.0,9.997406025017796,146921.5
30,20,300.0,0.9996824336945223,299.15666666666664,0.5133795859446479,0.5133795859446479,0.0
30,30,300.0,0.9995933502439646,299.0491666666667,0.5116134906823646,0.5116134906823646,0.0
30,40,300.0,0.9996464053349688,299.19083333333333,0.5124920971661595,0.5124920971661595,0.0
30,60,300.0,0.9996464053349688,299.19083333333333,0.5124920971661595,0.5124920971661595,0.0
30,80,300.0,0.9996464053349688,299.19083333333333,0.5124920971661595,0.5124920971661595,0.0
45,5,450.0,0.01564681399560426,7.0375,10.0,9.999424364801598,261136.0
45,10,450.0,0.06101222781869753,27.4075,10.0,9.99879660704326,248557.5
45,20,450.0,0.4369567185651947,196.4925,10.0,9.992833042655874,147534.0
45,30,450.0,0.9996684461111877,449.78666666666663,0.5111344043441886,0.5111344043441886,0.0
45,40,450.0,0.9996401201518064,449.03166666666664,0.5108907410295842,0.5108907410295842,0.0
45,60,450.0,0.9996959178928662,449.30583333333334,0.5106264932017837,0.5106264932017837,0.0
45,80,450.0,0.9996959178928662,449.30583333333334,0.5106264932017837,0.5106264932017837,0.0
60,5,600.0,0.009292880313101666,5.564166666666667,10.0,9.999559313347056,349857.5
60,10,600.0,0.03279799472465472,19.66,10.0,9.99915137041728,341844.0
60,20,600.0,0.1602093661494469,96.13916666666667,10.0,9.997571870887711,296287.0
60,30,600.0,0.9982697378093597,598.1791666666667,1.2793181058208916,1.2793181058208916,0.0
60,40,600.0,0.9996464182364613,600.7583333333333,0.5105449222595748,0.5105449222595748,0.0
60,60,600.0,0.999656615717592,599.1708333333333,0.5087728775729659,0.5087728775729659,0.0
60,80,600.0,0.999656615717592,599.1708333333333,0.5087728775729659,0.5087728775729659,0.0
75,5,750.0,0.0063211231706296455,4.74,10.0,9.99955402519987,439639.0
75,10,750.0,0.021017198747204018,15.7675,10.0,9.999341807104095,433039.0
75,20,750.0,0.08926498259124697,66.99833333333333,10.0,9.998467462738589,402579.0
75,30,750.0,0.2772088336327463,207.63833333333332,10.0,9.995999980286683,317359.5
75,40,750.0,0.9996391957259199,750.3824999999999,0.523242119279999,0.523242119279999,0.0
75,60,750.0,0.9996464383542476,749.2491666666667,0.5101075670383182,0.5101075670383182,0.0
75,80,750.0,0.9996498015353582,749.3291666666667,0.5094419531601488,0.5094419531601488,0.0
90,5,900.0,0.00455337182717911,4.1,10.0,9.99966049124265,528822.5
90,10,900.0,0.014844478932356806,13.355833333333333,10.0,9.99942392698847,522928.5
90,20,900.0,0.05847535078990777,52.64083333333333,10.0,9.998884828104536,499521.5
90,30,900.0,0.1570197270765477,141.27166666666668,10.0,9.997650667487505,446028.5
90,40,900.0,0.42313826654666087,380.9141666666667,10.0,9.99331185916951,302658.0
90,60,900.0,0.9996682616759802,898.9375,0.5098750789072994,0.5098750789072994,0.0
90,80,900.0,0.9996817375549509,897.8308333333333,0.5096284983742265,0.5096284983742265,0.0
105,5,1050.0,0.0035336575050613503,3.7091666666666665,10.0,9.999706066872193,617028.5
105,10,1050.0,0.011145319460493191,11.700833333333334,10.0,9.999525889034032,612332.5
105,20,1050.0,0.04210240729429898,44.2,10.0,9.999058319959488,592943.5
105,30,1050.0,0.10533492209816342,110.44416666666666,10.0,9.99829791170211,552394.0
105,40,1050.0,0.2324618013801122,244.10166666666666,10.0,9.99666151002377,473174.0
105,60,1050.0,0.9996616929635342,1048.9266666666667,0.5127563536877915,0.5127563536877915,0.0
105,80,1050.0,0.9996849051618554,1049.6041666666665,0.5109150568755592,0.5109150568755592,0.0
115,5,1150.0,0.003158957436004393,3.6333333333333337,10.0,9.999686055183773,676392.5
115,10,1150.0,0.009541686562676817,10.9725,10.0,9.9995547145964,671876.0
115,20,1150.0,0.03444975801110317,39.61833333333333,10.0,9.99914850753288,654840.0
115,30,1150.0,0.08379339442380829,96.29416666666667,10.0,9.998567975184763,620278.0
115,40,1150.0,0.1746472571020128,200.9691666666667,10.0,9.997466309325475,558344.0
115,60,1150.0,0.9996571938475365,1149.3366666666666,0.5242592312669592,0.5242592312669592,0.0
115,80,1150.0,0.9996752323585469,1149.065,0.5100154541820814,0.5100154541820814,0.0
130,5,1300.0,0.002543000697419423,3.3075,10.0,9.99975148206164,765320.5
130,10,1300.0,0.0075784390891576615,9.850000000000001,10.0,9.999584331574596,760812.0
130,20,1300.0,0.026619470920595092,34.59916666666667,10.0,9.999258111827782,745970.0
130,30,1300.0,0.06270169895276453,81.455,10.0,9.998784954506448,717664.5
130,40,1300.0,0.12547031115374524,162.98250000000002,10.0,9.998041626320628,668570.0
130,60,1300.0,0.5185961308290619,674.3641666666666,10.0,9.990567931817282,362495.5
130,80,1300.0,0.9996420470490999,1300.7675,0.5335962511687455,0.5335962511687455,0.0
